fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
868,348.0,76.55,59886.36315,21.52886,240,0.01232,1.63291,ztfr,-1
852,334.28571,69.35,59886.36604,21.52886,240,0.00698,1.78499,ztfr,-1
835,42.85714,69.35,59886.36893,21.52886,240,0.00597,1.2494,ztfr,-1
659,86.23064,33.35,59886.37183,21.52886,240,0.01412,1.09574,ztfr,-1
1815,78.98986,58.55,59886.37472,21.52886,240,0.00763,1.14122,ztfr,-1
1782,82.71148,51.35,59886.37761,21.52886,240,0.00724,1.10141,ztfr,-1
660,94.08393,33.35,59886.38051,21.52886,240,0.00708,1.13286,ztfr,-1
1843,68.79756,65.75,59886.3834,21.52886,240,0.00666,1.18907,ztfr,-1
1865,52.43831,72.95,59886.3863,21.52886,240,0.00519,1.30517,ztfr,-1
1744,90.53215,44.15,59886.38919,21.52886,240,0.00323,1.09086,ztfr,-1
1702,87.66852,36.95,59886.39208,21.52886,240,0.00242,1.05886,ztfr,-1
