fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
396,1.70673,-2.65,59884.07819,21.52886,240,0.21149,1.96856,ztfr,-1
498,358.22824,4.55,59884.08109,21.52886,240,0.06396,1.6008,ztfr,-1
497,351.21736,4.55,59884.08398,21.52886,240,0.04328,1.42314,ztfr,-1
446,354.67788,-2.65,59884.08687,21.52886,240,0.04272,1.63124,ztfr,-1
395,358.15163,-9.85,59884.08977,21.52886,240,0.0275,1.95035,ztfr,-1
1389,1.88844,-6.25,59884.09266,21.52886,240,0.0136,1.90412,ztfr,-1
1492,358.47954,0.95,59884.09555,21.52886,240,0.01127,1.55822,ztfr,-1
548,347.80512,11.75,59884.09845,21.52886,240,0.00744,1.20922,ztfr,-1
397,8.73558,-2.65,59884.10134,21.52886,240,0.00509,1.91306,ztfr,-1
345,5.20081,-9.85,59884.10424,21.52886,240,0.19743,2.02157,ztfr,-1
1491,351.59431,0.95,59884.10713,21.52886,240,0.00253,1.36074,ztfr,-1
1337,5.33343,-13.45,59884.11581,21.52886,240,0.00644,2.03226,ztfr,-1
294,1.62711,-17.05,59884.1216,21.52886,240,0.02626,2.01008,ztfr,-1
346,12.25,-9.85,59884.12449,21.52886,240,0.00513,2.01086,ztfr,-1
295,8.70904,-17.05,59884.14185,21.52886,240,0.08062,2.00269,ztfr,-1
245,1.16039,-24.25,59884.165,21.52886,240,0.00596,2.00713,ztfr,-1
246,8.55346,-24.25,59884.18525,21.52886,240,0.03234,2.00846,ztfr,-1
396,1.70673,-2.65,59884.18595,21.52886,240,0.21149,1.26013,ztfg,-1
345,5.20081,-9.85,59884.18884,21.52886,240,0.19743,1.41601,ztfg,-1
295,8.70904,-17.05,59884.19174,21.52886,240,0.08062,1.64862,ztfg,-1
498,358.22824,4.55,59884.19463,21.52886,240,0.06396,1.14374,ztfg,-1
497,351.21736,4.55,59884.19752,21.52886,240,0.04328,1.14153,ztfg,-1
446,354.67788,-2.65,59884.20042,21.52886,240,0.04272,1.2343,ztfg,-1
246,8.55346,-24.25,59884.20331,21.52886,240,0.03234,1.92021,ztfg,-1
395,358.15163,-9.85,59884.2062,21.52886,240,0.0275,1.36919,ztfg,-1
294,1.62711,-17.05,59884.2091,21.52886,240,0.02626,1.56762,ztfg,-1
1389,1.88844,-6.25,59884.21199,21.52886,240,0.0136,1.29666,ztfg,-1
1492,358.47954,0.95,59884.21488,21.52886,240,0.01127,1.18365,ztfg,-1
548,347.80512,11.75,59884.21778,21.52886,240,0.00744,1.10311,ztfg,-1
1337,5.33343,-13.45,59884.22067,21.52886,240,0.00644,1.45931,ztfg,-1
245,1.16039,-24.25,59884.22356,21.52886,240,0.00596,1.86299,ztfg,-1
346,12.25,-9.85,59884.22646,21.52886,240,0.00513,1.38211,ztfg,-1
