fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
452,40.29352,4.55,59885.3731,21.65,299,0.04506,1.19246,ztfi,-1
504,36.69487,11.75,59885.37669,21.65,299,0.02748,1.15092,ztfi,-1
402,43.87981,-2.65,59885.38028,21.65,299,0.02666,1.28943,ztfi,-1
354,68.64348,-9.85,59885.38386,21.65,299,0.03119,1.38229,ztfi,-1
454,54.31528,4.55,59885.38745,21.65,299,0.02261,1.15283,ztfi,-1
506,50.66337,11.75,59885.39104,21.65,299,0.016,1.10204,ztfi,-1
836,60.0,69.35,59885.39463,21.65,299,0.03246,1.23885,ztfi,-1
811,73.33333,62.15,59885.39822,21.65,299,0.0256,1.14496,ztfi,-1
809,46.66667,62.15,59885.4018,21.65,299,0.02052,1.17781,ztfi,-1
838,94.28571,69.35,59885.40539,21.65,299,0.01077,1.28008,ztfi,-1
783,114.82671,54.95,59885.40898,21.65,299,0.01273,1.25958,ztfi,-1
1814,66.98986,58.55,59885.41257,21.65,299,0.00827,1.10748,ztfi,-1
777,49.31587,54.95,59885.41616,21.65,299,0.00815,1.12572,ztfi,-1
812,86.66667,62.15,59885.41974,21.65,299,0.00776,1.1529,ztfi,-1
856,60.0,76.55,59885.42333,21.65,299,0.0073,1.38637,ztfi,-1
837,77.14286,69.35,59885.42692,21.65,299,0.00598,1.23639,ztfi,-1
747,110.12762,47.75,59885.43051,21.65,299,0.00635,1.1303,ztfi,-1
304,72.44639,-17.05,59885.4341,21.65,299,0.01589,1.58415,ztfi,-1
303,65.36446,-17.05,59885.43768,21.65,299,0.01499,1.64468,ztfi,-1
404,57.9375,-2.65,59885.44127,21.65,299,0.01455,1.361,ztfi,-1
352,54.54511,-9.85,59885.44486,21.65,299,0.01159,1.59886,ztfi,-1
556,44.87418,18.95,59885.44845,21.65,299,0.00731,1.27633,ztfi,-1
555,37.62436,18.95,59885.45204,21.65,299,0.00773,1.42598,ztfi,-1
351,47.49593,-9.85,59885.45562,21.65,299,0.00596,1.86409,ztfi,-1
451,33.28264,4.55,59885.45921,21.65,299,0.00501,1.9411,ztfi,-1
1447,46.67615,0.95,59885.4628,21.65,299,0.00475,1.62377,ztfi,-1
605,38.5896,26.15,59885.46639,21.65,299,0.00444,1.43729,ztfi,-1
1499,43.11748,8.15,59885.46998,21.65,299,0.0042,1.6279,ztfi,-1
606,46.1152,26.15,59885.47356,21.65,299,0.00413,1.34149,ztfi,-1
700,54.52367,40.55,59885.47715,21.65,299,0.0032,1.1928,ztfi,-1
780,82.05244,54.95,59885.48074,21.65,299,0.00441,1.09335,ztfi,-1
