fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
655,55.06078,33.35,59884.29521,21.52886,240,0.00156,1.07262,ztfg,-1
558,59.37382,18.95,59884.2981,21.52886,240,0.00154,1.14699,ztfg,-1
654,47.277,33.35,59884.30099,21.52886,240,0.00147,1.02628,ztfg,-1
608,61.1664,26.15,59884.30389,21.52886,240,0.00131,1.10872,ztfg,-1
604,31.064,26.15,59884.30678,21.52886,240,0.00123,1.0086,ztfg,-1
699,45.9756,40.55,59884.30968,21.52886,240,0.00115,1.02047,ztfg,-1
700,54.52367,40.55,59884.31257,21.52886,240,0.00114,1.0432,ztfg,-1
695,11.9,40.4,59884.31546,21.52886,240,0.00114,1.07248,ztfg,-1
1690,345.44111,29.75,59884.31836,21.52886,240,0.00126,1.40108,ztfg,-1
647,353.436,26.15,59884.32125,21.52886,240,0.00093,1.30372,ztfg,-1
1547,15.96916,15.35,59884.32414,21.52886,240,0.00098,1.13468,ztfg,-1
1392,22.61156,-6.25,59884.32704,21.52886,240,0.00126,1.3725,ztfg,-1
1444,26.02046,0.95,59884.32993,21.52886,240,0.00077,1.23114,ztfg,-1
1647,15.90016,29.75,59884.33282,21.52886,240,0.00072,1.09014,ztfg,-1
776,38.72562,54.95,59884.33572,21.52886,240,0.00091,1.07874,ztfg,-1
853,351.42857,69.35,59884.33861,21.52886,240,0.00095,1.45511,ztfg,-1
1734,355.487,36.95,59884.3415,21.52886,240,0.00075,1.33024,ztfg,-1
648,0.57433,33.35,59884.3422,21.52886,240,0.07091,1.27104,ztfr,-1
692,345.00678,33.35,59884.34509,21.52886,240,0.06114,1.60543,ztfr,-1
693,352.79056,33.35,59884.34799,21.52886,240,0.06071,1.44205,ztfr,-1
602,16.0128,26.15,59884.35088,21.52886,240,0.05062,1.15441,ztfr,-1
601,8.4872,26.15,59884.35377,21.52886,240,0.04109,1.25433,ztfr,-1
502,22.72637,11.75,59884.35667,21.52886,240,0.0394,1.20892,ztfr,-1
649,8.35811,33.35,59884.35956,21.52886,240,0.03717,1.25006,ztfr,-1
552,15.87491,18.95,59884.36245,21.52886,240,0.0319,1.24805,ztfr,-1
553,23.12473,18.95,59884.36535,21.52886,240,0.02738,1.17616,ztfr,-1
399,22.79327,-2.65,59884.36824,21.52886,240,0.02501,1.48453,ztfr,-1
450,26.27176,4.55,59884.37113,21.52886,240,0.01991,1.31615,ztfr,-1
449,19.26088,4.55,59884.37403,21.52886,240,0.01426,1.44292,ztfr,-1
347,19.29919,-9.85,59884.37692,21.52886,240,0.01372,1.8557,ztfr,-1
605,38.5896,26.15,59884.37981,21.52886,240,0.00617,1.06406,ztfr,-1
738,22.28709,47.75,59884.38271,21.52886,240,0.00674,1.1852,ztfr,-1
697,28.87947,40.55,59884.3856,21.52886,240,0.0063,1.12685,ztfr,-1
773,6.95487,54.95,59884.38849,21.52886,240,0.00543,1.3973,ztfr,-1
650,16.14189,33.35,59884.39139,21.52886,240,0.00514,1.30304,ztfr,-1
653,39.49322,33.35,59884.39428,21.52886,240,0.00496,1.07519,ztfr,-1
1646,8.59984,29.75,59884.39718,21.52886,240,0.00485,1.51721,ztfr,-1
735,355.0372,40.55,59884.40007,21.52886,240,0.00492,1.82178,ztfr,-1
804,345.77437,54.95,59884.40296,21.52886,240,0.00493,1.95914,ztfr,-1
805,356.36462,54.95,59884.40586,21.52886,240,0.00435,1.69905,ztfr,-1
600,0.9616,26.15,59884.40875,21.52886,240,0.00402,1.98677,ztfr,-1
603,23.5384,26.15,59884.41164,21.52886,240,0.00438,1.34555,ztfr,-1
556,44.87418,18.95,59884.41454,21.52886,240,0.00392,1.13952,ztfr,-1
505,43.67912,11.75,59884.41743,21.52886,240,0.00382,1.21929,ztfr,-1
652,31.70944,33.35,59884.42032,21.52886,240,0.00364,1.23135,ztfr,-1
555,37.62436,18.95,59884.42322,21.52886,240,0.00348,1.25049,ztfr,-1
1598,15.77495,22.55,59884.42611,21.52886,240,0.00283,1.71228,ztfr,-1
694,3.4686,40.55,59884.429,21.52886,240,0.00311,1.89486,ztfr,-1
737,12.25,47.75,59884.4319,21.52886,240,0.00273,1.58952,ztfr,-1
698,37.42753,40.55,59884.43479,21.52886,240,0.00235,1.21221,ztfr,-1
557,52.124,18.95,59884.43768,21.52886,240,0.00255,1.14906,ztfr,-1
506,50.66337,11.75,59884.44058,21.52886,240,0.00272,1.23446,ztfr,-1
503,29.71062,11.75,59884.44347,21.52886,240,0.00228,1.66771,ztfr,-1
453,47.3044,4.55,59884.44636,21.52886,240,0.00228,1.40841,ztfr,-1
452,40.29352,4.55,59884.44926,21.52886,240,0.00216,1.57865,ztfr,-1
606,46.1152,26.15,59884.45215,21.52886,240,0.00213,1.22604,ztfr,-1
607,53.6408,26.15,59884.45505,21.52886,240,0.00191,1.15405,ztfr,-1
554,30.37455,18.95,59884.45794,21.52886,240,0.00174,1.67302,ztfr,-1
504,36.69487,11.75,59884.46083,21.52886,240,0.00167,1.64535,ztfr,-1
402,43.87981,-2.65,59884.46373,21.52886,240,0.0016,1.82307,ztfr,-1
558,59.37382,18.95,59884.46662,21.52886,240,0.00154,1.17945,ztfr,-1
655,55.06078,33.35,59884.46951,21.52886,240,0.00156,1.16792,ztfr,-1
654,47.277,33.35,59884.47241,21.52886,240,0.00147,1.2746,ztfr,-1
774,17.54512,54.95,59884.4753,21.52886,240,0.00158,1.79297,ztfr,-1
739,32.32418,47.75,59884.47819,21.52886,240,0.0013,1.51677,ztfr,-1
604,31.064,26.15,59884.48109,21.52886,240,0.00123,1.81211,ztfr,-1
608,61.1664,26.15,59884.48398,21.52886,240,0.00131,1.1841,ztfr,-1
699,45.9756,40.55,59884.48687,21.52886,240,0.00115,1.34902,ztfr,-1
700,54.52367,40.55,59884.48977,21.52886,240,0.00114,1.24378,ztfr,-1
776,38.72562,54.95,59884.49266,21.52886,240,0.00091,1.48251,ztfr,-1
648,0.57433,33.35,59885.07819,21.52886,240,0.07091,1.31901,ztfg,-1
692,345.00678,33.35,59885.08109,21.52886,240,0.06114,1.12336,ztfg,-1
693,352.79056,33.35,59885.08398,21.52886,240,0.06071,1.18767,ztfg,-1
602,16.0128,26.15,59885.08687,21.52886,240,0.05062,1.66659,ztfg,-1
601,8.4872,26.15,59885.08977,21.52886,240,0.04109,1.44031,ztfg,-1
649,8.35811,33.35,59885.09266,21.52886,240,0.03717,1.36241,ztfg,-1
552,15.87491,18.95,59885.09555,21.52886,240,0.0319,1.68171,ztfg,-1
553,23.12473,18.95,59885.09845,21.52886,240,0.02738,1.92491,ztfg,-1
644,330.8592,26.15,59885.10134,21.52886,240,0.03985,1.02225,ztfg,-1
645,338.3848,26.15,59885.10424,21.52886,240,0.03019,1.04472,ztfg,-1
691,337.223,33.35,59885.10713,21.52886,240,0.0274,1.0257,ztfg,-1
502,22.72637,11.75,59885.11002,21.52886,240,0.0394,1.91266,ztfg,-1
449,19.26088,4.55,59885.11292,21.52886,240,0.01426,1.9323,ztfg,-1
595,325.12618,18.95,59885.11581,21.52886,240,0.01782,1.03198,ztfg,-1
596,332.376,18.95,59885.1187,21.52886,240,0.01159,1.0372,ztfg,-1
545,326.85237,11.75,59885.1216,21.52886,240,0.00632,1.07478,ztfg,-1
1689,337.78142,29.75,59885.12449,21.52886,240,0.00419,1.01237,ztfg,-1
450,26.27176,4.55,59885.12738,21.52886,240,0.01991,2.0168,ztfg,-1
605,38.5896,26.15,59885.13028,21.52886,240,0.00617,1.93126,ztfg,-1
399,22.79327,-2.65,59885.13317,21.52886,240,0.02501,2.02484,ztfg,-1
603,23.5384,26.15,59885.13606,21.52886,240,0.00438,1.40601,ztfg,-1
738,22.28709,47.75,59885.13896,21.52886,240,0.00674,1.29062,ztfg,-1
697,28.87947,40.55,59885.14185,21.52886,240,0.0063,1.37909,ztfg,-1
347,19.29919,-9.85,59885.14474,21.52886,240,0.01372,2.00039,ztfg,-1
650,16.14189,33.35,59885.14764,21.52886,240,0.00514,1.19214,ztfg,-1
773,6.95487,54.95,59885.15053,21.52886,240,0.00543,1.15358,ztfg,-1
804,345.77437,54.95,59885.15343,21.52886,240,0.00493,1.08086,ztfg,-1
735,355.0372,40.55,59885.15632,21.52886,240,0.00492,1.03218,ztfg,-1
1646,8.59984,29.75,59885.15921,21.52886,240,0.00485,1.09506,ztfg,-1
653,39.49322,33.35,59885.16211,21.52886,240,0.00496,1.48552,ztfg,-1
556,44.87418,18.95,59885.165,21.52886,240,0.00392,1.82761,ztfg,-1
505,43.67912,11.75,59885.16789,21.52886,240,0.00382,1.91658,ztfg,-1
652,31.70944,33.35,59885.17079,21.52886,240,0.00364,1.28465,ztfg,-1
600,0.9616,26.15,59885.17368,21.52886,240,0.00402,1.03486,ztfg,-1
734,346.6058,40.55,59885.17657,21.52886,240,0.00428,1.00822,ztfg,-1
805,356.36462,54.95,59885.17947,21.52886,240,0.00435,1.08251,ztfg,-1
803,335.18412,54.95,59885.18236,21.52886,240,0.00425,1.09267,ztfg,-1
769,322.06455,47.75,59885.18525,21.52886,240,0.00372,1.10799,ztfg,-1
646,345.9104,26.15,59885.18815,21.52886,240,0.003,1.01074,ztfg,-1
694,3.4686,40.55,59885.19104,21.52886,240,0.00311,1.02111,ztfg,-1
1598,15.77495,22.55,59885.19393,21.52886,240,0.00283,1.08332,ztfg,-1
555,37.62436,18.95,59885.19683,21.52886,240,0.00348,1.32938,ztfg,-1
506,50.66337,11.75,59885.19972,21.52886,240,0.00272,1.73613,ztfg,-1
557,52.124,18.95,59885.20261,21.52886,240,0.00255,1.60817,ztfg,-1
698,37.42753,40.55,59885.20551,21.52886,240,0.00235,1.18738,ztfg,-1
737,12.25,47.75,59885.2084,21.52886,240,0.00273,1.05092,ztfg,-1
733,338.1744,40.55,59885.2113,21.52886,240,0.00217,1.05397,ztfg,-1
768,312.24615,47.75,59885.21419,21.52886,240,0.00219,1.281,ztfg,-1
690,329.43922,33.35,59885.21708,21.52886,240,0.00218,1.11903,ztfg,-1
729,304.26859,40.55,59885.21998,21.52886,240,0.00199,1.44769,ztfg,-1
770,332.10164,47.75,59885.22287,21.52886,240,0.00198,1.12942,ztfg,-1
1641,331.61757,22.55,59885.22576,21.52886,240,0.00196,1.16523,ztfg,-1
296,15.79096,-17.05,59885.22866,21.52886,240,0.00422,1.59613,ztfg,-1
503,29.71062,11.75,59885.23155,21.52886,240,0.00228,1.15569,ztfg,-1
453,47.3044,4.55,59885.23444,21.52886,240,0.00228,1.45741,ztfg,-1
452,40.29352,4.55,59885.23734,21.52886,240,0.00216,1.32583,ztfg,-1
606,46.1152,26.15,59885.24023,21.52886,240,0.00213,1.18117,ztfg,-1
607,53.6408,26.15,59885.24312,21.52886,240,0.00191,1.26174,ztfg,-1
554,30.37455,18.95,59885.24602,21.52886,240,0.00174,1.07722,ztfg,-1
1548,22.92217,15.35,59885.24891,21.52886,240,0.0018,1.06441,ztfg,-1
504,36.69487,11.75,59885.2518,21.52886,240,0.00167,1.15336,ztfg,-1
402,43.87981,-2.65,59885.2547,21.52886,240,0.0016,1.41545,ztfg,-1
