fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success,ccdid
855,36.0,76.55,59884.07819,22.900036109541634,299,0.04633,1.81218,g,-1,1
855,36.0,76.55,59884.07819,22.582239572142523,299,0.04633,1.81218,g,-1,2
855,36.0,76.55,59884.07819,20.795940900959543,299,0.04633,1.81218,g,-1,3
855,36.0,76.55,59884.07819,21.647943516397223,299,0.04633,1.81218,g,-1,4
855,36.0,76.55,59884.07819,21.184954863276662,299,0.04633,1.81218,g,-1,5
855,36.0,76.55,59884.07819,21.67388409382292,299,0.04633,1.81218,g,-1,6
855,36.0,76.55,59884.07819,21.62523668550603,299,0.04633,1.81218,g,-1,7
855,36.0,76.55,59884.07819,20.878746976865717,299,0.04633,1.81218,g,-1,8
855,36.0,76.55,59884.07819,20.77023574361649,299,0.04633,1.81218,g,-1,9
855,36.0,76.55,59884.07819,20.304088576505297,299,0.04633,1.81218,g,-1,10
855,36.0,76.55,59884.07819,20.88404512744593,299,0.04633,1.81218,g,-1,11
855,36.0,76.55,59884.07819,21.418282066520536,299,0.04633,1.81218,g,-1,12
855,36.0,76.55,59884.07819,21.7512330451827,299,0.04633,1.81218,g,-1,13
855,36.0,76.55,59884.07819,21.42493702822716,299,0.04633,1.81218,g,-1,14
855,36.0,76.55,59884.07819,21.56500809152435,299,0.04633,1.81218,g,-1,15
855,36.0,76.55,59884.07819,21.421431121771796,299,0.04633,1.81218,g,-1,16
854,12.0,76.55,59884.08178,22.40652246785746,299,0.03372,1.58038,g,-1,1
854,12.0,76.55,59884.08178,20.383892746411735,299,0.03372,1.58038,g,-1,2
854,12.0,76.55,59884.08178,20.01614170404088,299,0.03372,1.58038,g,-1,3
854,12.0,76.55,59884.08178,21.37165884681511,299,0.03372,1.58038,g,-1,4
854,12.0,76.55,59884.08178,21.392000238733274,299,0.03372,1.58038,g,-1,5
854,12.0,76.55,59884.08178,20.12273407143356,299,0.03372,1.58038,g,-1,6
854,12.0,76.55,59884.08178,22.170898161410513,299,0.03372,1.58038,g,-1,7
854,12.0,76.55,59884.08178,20.404820652455093,299,0.03372,1.58038,g,-1,8
854,12.0,76.55,59884.08178,20.5816407862363,299,0.03372,1.58038,g,-1,9
854,12.0,76.55,59884.08178,22.20427122171573,299,0.03372,1.58038,g,-1,10
854,12.0,76.55,59884.08178,21.568260653899262,299,0.03372,1.58038,g,-1,11
854,12.0,76.55,59884.08178,21.40932426371327,299,0.03372,1.58038,g,-1,12
854,12.0,76.55,59884.08178,20.81696049097922,299,0.03372,1.58038,g,-1,13
854,12.0,76.55,59884.08178,20.48371100049945,299,0.03372,1.58038,g,-1,14
854,12.0,76.55,59884.08178,19.774818023433774,299,0.03372,1.58038,g,-1,15
854,12.0,76.55,59884.08178,20.982354318786072,299,0.03372,1.58038,g,-1,16
868,348.0,76.55,59884.08537,19.790225572634515,299,0.01232,1.43953,g,-1,1
868,348.0,76.55,59884.08537,20.718703438649822,299,0.01232,1.43953,g,-1,2
868,348.0,76.55,59884.08537,22.16516827579114,299,0.01232,1.43953,g,-1,3
868,348.0,76.55,59884.08537,22.651732202370663,299,0.01232,1.43953,g,-1,4
868,348.0,76.55,59884.08537,21.64434968114208,299,0.01232,1.43953,g,-1,5
868,348.0,76.55,59884.08537,21.975602536576755,299,0.01232,1.43953,g,-1,6
868,348.0,76.55,59884.08537,20.780891739432317,299,0.01232,1.43953,g,-1,7
868,348.0,76.55,59884.08537,22.20700303824115,299,0.01232,1.43953,g,-1,8
868,348.0,76.55,59884.08537,20.431429118067143,299,0.01232,1.43953,g,-1,9
868,348.0,76.55,59884.08537,21.434924561505916,299,0.01232,1.43953,g,-1,10
868,348.0,76.55,59884.08537,19.595917570908995,299,0.01232,1.43953,g,-1,11
868,348.0,76.55,59884.08537,21.441970209374656,299,0.01232,1.43953,g,-1,12
868,348.0,76.55,59884.08537,19.96668662058635,299,0.01232,1.43953,g,-1,13
868,348.0,76.55,59884.08537,19.05753807694708,299,0.01232,1.43953,g,-1,14
868,348.0,76.55,59884.08537,22.511374419594762,299,0.01232,1.43953,g,-1,15
868,348.0,76.55,59884.08537,20.538491896079965,299,0.01232,1.43953,g,-1,16
852,334.28571,69.35,59884.08896,20.038864738857672,299,0.00698,1.26256,g,-1,1
852,334.28571,69.35,59884.08896,19.437857673937497,299,0.00698,1.26256,g,-1,2
852,334.28571,69.35,59884.08896,19.811176906762274,299,0.00698,1.26256,g,-1,3
852,334.28571,69.35,59884.08896,20.252986069525946,299,0.00698,1.26256,g,-1,4
852,334.28571,69.35,59884.08896,21.674571058212138,299,0.00698,1.26256,g,-1,5
852,334.28571,69.35,59884.08896,20.718634423618845,299,0.00698,1.26256,g,-1,6
852,334.28571,69.35,59884.08896,20.584987696742328,299,0.00698,1.26256,g,-1,7
852,334.28571,69.35,59884.08896,21.566958332630165,299,0.00698,1.26256,g,-1,8
852,334.28571,69.35,59884.08896,22.444862656279632,299,0.00698,1.26256,g,-1,9
852,334.28571,69.35,59884.08896,21.519475202960248,299,0.00698,1.26256,g,-1,10
852,334.28571,69.35,59884.08896,23.19923596792738,299,0.00698,1.26256,g,-1,11
852,334.28571,69.35,59884.08896,22.130614569229873,299,0.00698,1.26256,g,-1,12
852,334.28571,69.35,59884.08896,21.5374535143352,299,0.00698,1.26256,g,-1,13
852,334.28571,69.35,59884.08896,20.025511684319888,299,0.00698,1.26256,g,-1,14
852,334.28571,69.35,59884.08896,20.815876667298102,299,0.00698,1.26256,g,-1,15
852,334.28571,69.35,59884.08896,20.389666204884108,299,0.00698,1.26256,g,-1,16
835,42.85714,69.35,59884.09255,20.862264715884084,299,0.00597,1.87855,g,-1,1
835,42.85714,69.35,59884.09255,21.345352992171154,299,0.00597,1.87855,g,-1,2
835,42.85714,69.35,59884.09255,21.861190540676972,299,0.00597,1.87855,g,-1,3
835,42.85714,69.35,59884.09255,20.51000840991875,299,0.00597,1.87855,g,-1,4
835,42.85714,69.35,59884.09255,21.461565801221813,299,0.00597,1.87855,g,-1,5
835,42.85714,69.35,59884.09255,21.038884345126736,299,0.00597,1.87855,g,-1,6
835,42.85714,69.35,59884.09255,18.560176006447545,299,0.00597,1.87855,g,-1,7
835,42.85714,69.35,59884.09255,19.971458720003262,299,0.00597,1.87855,g,-1,8
835,42.85714,69.35,59884.09255,22.848388936718685,299,0.00597,1.87855,g,-1,9
835,42.85714,69.35,59884.09255,21.80580947261134,299,0.00597,1.87855,g,-1,10
835,42.85714,69.35,59884.09255,20.925388446995157,299,0.00597,1.87855,g,-1,11
835,42.85714,69.35,59884.09255,19.53571402471687,299,0.00597,1.87855,g,-1,12
835,42.85714,69.35,59884.09255,21.186824715692627,299,0.00597,1.87855,g,-1,13
835,42.85714,69.35,59884.09255,20.49823914475219,299,0.00597,1.87855,g,-1,14
835,42.85714,69.35,59884.09255,21.511069760923537,299,0.00597,1.87855,g,-1,15
835,42.85714,69.35,59884.09255,19.564506543274586,299,0.00597,1.87855,g,-1,16
1865,52.43831,72.95,59884.09613,22.447234156643635,299,0.00519,1.98106,g,-1,1
1865,52.43831,72.95,59884.09613,21.739317572735704,299,0.00519,1.98106,g,-1,2
1865,52.43831,72.95,59884.09613,19.7155641541788,299,0.00519,1.98106,g,-1,3
1865,52.43831,72.95,59884.09613,22.21192777413613,299,0.00519,1.98106,g,-1,4
