fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success,ccdid
855,36.0,76.55,59884.07819,21.0717758485643,299,0.04633,1.81218,g,-1,1
855,36.0,76.55,59884.07819,21.94835515824211,299,0.04633,1.81218,g,-1,2
855,36.0,76.55,59884.07819,20.965749634374802,299,0.04633,1.81218,g,-1,3
855,36.0,76.55,59884.07819,21.824952615279127,299,0.04633,1.81218,g,-1,4
855,36.0,76.55,59884.07819,22.085811729997292,299,0.04633,1.81218,g,-1,5
855,36.0,76.55,59884.07819,20.385396372028772,299,0.04633,1.81218,g,-1,6
855,36.0,76.55,59884.07819,20.674245647170597,299,0.04633,1.81218,g,-1,7
855,36.0,76.55,59884.07819,20.703812615177807,299,0.04633,1.81218,g,-1,8
855,36.0,76.55,59884.07819,21.545194039318325,299,0.04633,1.81218,g,-1,9
855,36.0,76.55,59884.07819,20.309459806348457,299,0.04633,1.81218,g,-1,10
855,36.0,76.55,59884.07819,20.99926150029926,299,0.04633,1.81218,g,-1,11
855,36.0,76.55,59884.07819,21.024214086313226,299,0.04633,1.81218,g,-1,12
855,36.0,76.55,59884.07819,21.052384295049865,299,0.04633,1.81218,g,-1,13
855,36.0,76.55,59884.07819,21.337989855853944,299,0.04633,1.81218,g,-1,14
855,36.0,76.55,59884.07819,20.76696296271627,299,0.04633,1.81218,g,-1,15
855,36.0,76.55,59884.07819,20.014473078736263,299,0.04633,1.81218,g,-1,16
854,12.0,76.55,59884.08178,20.590099483170338,299,0.03372,1.58038,g,-1,1
854,12.0,76.55,59884.08178,21.59237354126401,299,0.03372,1.58038,g,-1,2
854,12.0,76.55,59884.08178,20.477394007387858,299,0.03372,1.58038,g,-1,3
854,12.0,76.55,59884.08178,20.34995248786086,299,0.03372,1.58038,g,-1,4
854,12.0,76.55,59884.08178,21.195148074174426,299,0.03372,1.58038,g,-1,5
854,12.0,76.55,59884.08178,21.195597018448,299,0.03372,1.58038,g,-1,6
854,12.0,76.55,59884.08178,20.995480942680754,299,0.03372,1.58038,g,-1,7
854,12.0,76.55,59884.08178,21.255408926889366,299,0.03372,1.58038,g,-1,8
854,12.0,76.55,59884.08178,22.614833391030288,299,0.03372,1.58038,g,-1,9
854,12.0,76.55,59884.08178,21.92531654086082,299,0.03372,1.58038,g,-1,10
854,12.0,76.55,59884.08178,21.48802884217559,299,0.03372,1.58038,g,-1,11
854,12.0,76.55,59884.08178,21.904073682133323,299,0.03372,1.58038,g,-1,12
854,12.0,76.55,59884.08178,21.079403645836923,299,0.03372,1.58038,g,-1,13
854,12.0,76.55,59884.08178,21.58116048978594,299,0.03372,1.58038,g,-1,14
854,12.0,76.55,59884.08178,22.35905054700719,299,0.03372,1.58038,g,-1,15
854,12.0,76.55,59884.08178,21.22975351605404,299,0.03372,1.58038,g,-1,16
868,348.0,76.55,59884.08537,18.44823378490458,299,0.01232,1.43953,g,-1,1
868,348.0,76.55,59884.08537,22.004076633958633,299,0.01232,1.43953,g,-1,2
868,348.0,76.55,59884.08537,22.37343079996383,299,0.01232,1.43953,g,-1,3
868,348.0,76.55,59884.08537,19.525277328114797,299,0.01232,1.43953,g,-1,4
868,348.0,76.55,59884.08537,21.26298322532464,299,0.01232,1.43953,g,-1,5
868,348.0,76.55,59884.08537,22.430059945079744,299,0.01232,1.43953,g,-1,6
868,348.0,76.55,59884.08537,20.878012854323465,299,0.01232,1.43953,g,-1,7
868,348.0,76.55,59884.08537,22.08087995113638,299,0.01232,1.43953,g,-1,8
868,348.0,76.55,59884.08537,20.715110057164964,299,0.01232,1.43953,g,-1,9
868,348.0,76.55,59884.08537,18.914548091324768,299,0.01232,1.43953,g,-1,10
868,348.0,76.55,59884.08537,20.373020620904903,299,0.01232,1.43953,g,-1,11
868,348.0,76.55,59884.08537,22.000732220861995,299,0.01232,1.43953,g,-1,12
868,348.0,76.55,59884.08537,20.118373719899367,299,0.01232,1.43953,g,-1,13
868,348.0,76.55,59884.08537,19.40983538422359,299,0.01232,1.43953,g,-1,14
868,348.0,76.55,59884.08537,21.10984841610843,299,0.01232,1.43953,g,-1,15
868,348.0,76.55,59884.08537,23.32872738476418,299,0.01232,1.43953,g,-1,16
852,334.28571,69.35,59884.08896,20.83187442345503,299,0.00698,1.26256,g,-1,1
852,334.28571,69.35,59884.08896,20.586450027778586,299,0.00698,1.26256,g,-1,2
852,334.28571,69.35,59884.08896,19.639381894215237,299,0.00698,1.26256,g,-1,3
852,334.28571,69.35,59884.08896,20.14621525915785,299,0.00698,1.26256,g,-1,4
852,334.28571,69.35,59884.08896,20.426921058833337,299,0.00698,1.26256,g,-1,5
852,334.28571,69.35,59884.08896,20.64556513130893,299,0.00698,1.26256,g,-1,6
852,334.28571,69.35,59884.08896,21.060293618760422,299,0.00698,1.26256,g,-1,7
852,334.28571,69.35,59884.08896,21.330960035748607,299,0.00698,1.26256,g,-1,8
852,334.28571,69.35,59884.08896,21.180605535651974,299,0.00698,1.26256,g,-1,9
852,334.28571,69.35,59884.08896,21.592822473044496,299,0.00698,1.26256,g,-1,10
852,334.28571,69.35,59884.08896,20.440010574098647,299,0.00698,1.26256,g,-1,11
852,334.28571,69.35,59884.08896,22.00472841040703,299,0.00698,1.26256,g,-1,12
852,334.28571,69.35,59884.08896,20.82825367162152,299,0.00698,1.26256,g,-1,13
852,334.28571,69.35,59884.08896,18.816036973025128,299,0.00698,1.26256,g,-1,14
852,334.28571,69.35,59884.08896,19.51159152716031,299,0.00698,1.26256,g,-1,15
852,334.28571,69.35,59884.08896,22.165231504071627,299,0.00698,1.26256,g,-1,16
835,42.85714,69.35,59884.09255,20.679295576206737,299,0.00597,1.87855,g,-1,1
835,42.85714,69.35,59884.09255,21.602684877718517,299,0.00597,1.87855,g,-1,2
835,42.85714,69.35,59884.09255,21.724092447130456,299,0.00597,1.87855,g,-1,3
835,42.85714,69.35,59884.09255,21.880419950902905,299,0.00597,1.87855,g,-1,4
835,42.85714,69.35,59884.09255,21.475546213071272,299,0.00597,1.87855,g,-1,5
835,42.85714,69.35,59884.09255,22.73043043930355,299,0.00597,1.87855,g,-1,6
835,42.85714,69.35,59884.09255,20.8180938999854,299,0.00597,1.87855,g,-1,7
835,42.85714,69.35,59884.09255,22.322722498576223,299,0.00597,1.87855,g,-1,8
835,42.85714,69.35,59884.09255,19.944441450345828,299,0.00597,1.87855,g,-1,9
835,42.85714,69.35,59884.09255,21.064913504065718,299,0.00597,1.87855,g,-1,10
835,42.85714,69.35,59884.09255,20.77898588753475,299,0.00597,1.87855,g,-1,11
835,42.85714,69.35,59884.09255,22.67748854430011,299,0.00597,1.87855,g,-1,12
835,42.85714,69.35,59884.09255,19.442658767745957,299,0.00597,1.87855,g,-1,13
835,42.85714,69.35,59884.09255,22.131664266768972,299,0.00597,1.87855,g,-1,14
835,42.85714,69.35,59884.09255,20.895146887459145,299,0.00597,1.87855,g,-1,15
835,42.85714,69.35,59884.09255,21.59312562183819,299,0.00597,1.87855,g,-1,16
1865,52.43831,72.95,59884.09613,20.54398685494397,299,0.00519,1.98106,g,-1,1
1865,52.43831,72.95,59884.09613,22.386468379241602,299,0.00519,1.98106,g,-1,2
1865,52.43831,72.95,59884.09613,22.438661239008674,299,0.00519,1.98106,g,-1,3
1865,52.43831,72.95,59884.09613,21.811476456301072,299,0.00519,1.98106,g,-1,4
1865,52.43831,72.95,59884.09613,22.484086191644064,299,0.00519,1.98106,g,-1,5
1865,52.43831,72.95,59884.09613,20.622732967796022,299,0.00519,1.98106,g,-1,6
1865,52.43831,72.95,59884.09613,20.795609184603325,299,0.00519,1.98106,g,-1,7
1865,52.43831,72.95,59884.09613,20.843367375694747,299,0.00519,1.98106,g,-1,8
1865,52.43831,72.95,59884.09613,22.30494206981501,299,0.00519,1.98106,g,-1,9
1865,52.43831,72.95,59884.09613,20.918400248272338,299,0.00519,1.98106,g,-1,10
1865,52.43831,72.95,59884.09613,23.26873558079565,299,0.00519,1.98106,g,-1,11
1865,52.43831,72.95,59884.09613,21.479532986160272,299,0.00519,1.98106,g,-1,12
1865,52.43831,72.95,59884.09613,21.86648761758368,299,0.00519,1.98106,g,-1,13
