fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success,ccdid
855,36.0,76.55,59884.07819,19.93975007366498,299,0.04633,1.81218,g,-1,1
855,36.0,76.55,59884.07819,21.05734035690133,299,0.04633,1.81218,g,-1,2
855,36.0,76.55,59884.07819,22.23524537691063,299,0.04633,1.81218,g,-1,3
855,36.0,76.55,59884.07819,20.692859234744244,299,0.04633,1.81218,g,-1,4
855,36.0,76.55,59884.07819,20.73945790699695,299,0.04633,1.81218,g,-1,5
855,36.0,76.55,59884.07819,20.548950589170545,299,0.04633,1.81218,g,-1,6
855,36.0,76.55,59884.07819,21.2274351591344,299,0.04633,1.81218,g,-1,7
855,36.0,76.55,59884.07819,19.725546634308664,299,0.04633,1.81218,g,-1,8
855,36.0,76.55,59884.07819,20.800376240004475,299,0.04633,1.81218,g,-1,9
855,36.0,76.55,59884.07819,21.245119977598304,299,0.04633,1.81218,g,-1,10
855,36.0,76.55,59884.07819,22.236626486284496,299,0.04633,1.81218,g,-1,11
855,36.0,76.55,59884.07819,20.316996488072377,299,0.04633,1.81218,g,-1,12
855,36.0,76.55,59884.07819,20.890369598013667,299,0.04633,1.81218,g,-1,13
855,36.0,76.55,59884.07819,20.438525242237056,299,0.04633,1.81218,g,-1,14
855,36.0,76.55,59884.07819,20.196832011795177,299,0.04633,1.81218,g,-1,15
855,36.0,76.55,59884.07819,19.860381936206377,299,0.04633,1.81218,g,-1,16
854,12.0,76.55,59884.08178,21.81380719705256,299,0.03372,1.58038,g,-1,1
854,12.0,76.55,59884.08178,19.701040913570157,299,0.03372,1.58038,g,-1,2
854,12.0,76.55,59884.08178,21.93760965652193,299,0.03372,1.58038,g,-1,3
854,12.0,76.55,59884.08178,23.14198866434649,299,0.03372,1.58038,g,-1,4
854,12.0,76.55,59884.08178,20.073055660957365,299,0.03372,1.58038,g,-1,5
854,12.0,76.55,59884.08178,20.55824054260391,299,0.03372,1.58038,g,-1,6
854,12.0,76.55,59884.08178,20.515033800574884,299,0.03372,1.58038,g,-1,7
