fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success,ccdid
855,36.0,76.55,59884.07819,21.82725959753461,299,0.04633,1.81218,g,-1,1
855,36.0,76.55,59884.07819,20.492772497846442,299,0.04633,1.81218,g,-1,2
855,36.0,76.55,59884.07819,20.41206648274178,299,0.04633,1.81218,g,-1,3
855,36.0,76.55,59884.07819,19.951355779120032,299,0.04633,1.81218,g,-1,4
855,36.0,76.55,59884.07819,20.173788531275196,299,0.04633,1.81218,g,-1,5
855,36.0,76.55,59884.07819,19.944893132658873,299,0.04633,1.81218,g,-1,6
855,36.0,76.55,59884.07819,21.80619172415642,299,0.04633,1.81218,g,-1,7
855,36.0,76.55,59884.07819,21.146383549578957,299,0.04633,1.81218,g,-1,8
855,36.0,76.55,59884.07819,21.418652025083425,299,0.04633,1.81218,g,-1,9
855,36.0,76.55,59884.07819,21.10494149475104,299,0.04633,1.81218,g,-1,10
855,36.0,76.55,59884.07819,21.680372247851288,299,0.04633,1.81218,g,-1,11
855,36.0,76.55,59884.07819,18.408514678026545,299,0.04633,1.81218,g,-1,12
855,36.0,76.55,59884.07819,22.572711225754936,299,0.04633,1.81218,g,-1,13
855,36.0,76.55,59884.07819,20.322428753783853,299,0.04633,1.81218,g,-1,14
855,36.0,76.55,59884.07819,21.097825812328054,299,0.04633,1.81218,g,-1,15
855,36.0,76.55,59884.07819,20.355172771163783,299,0.04633,1.81218,g,-1,16
854,12.0,76.55,59884.08178,22.0818126238116,299,0.03372,1.58038,g,-1,1
854,12.0,76.55,59884.08178,21.396589271596724,299,0.03372,1.58038,g,-1,2
854,12.0,76.55,59884.08178,22.489773876737996,299,0.03372,1.58038,g,-1,3
854,12.0,76.55,59884.08178,21.134572038228082,299,0.03372,1.58038,g,-1,4
854,12.0,76.55,59884.08178,19.844435191816252,299,0.03372,1.58038,g,-1,5
854,12.0,76.55,59884.08178,20.122506199894982,299,0.03372,1.58038,g,-1,6
854,12.0,76.55,59884.08178,19.78806975516563,299,0.03372,1.58038,g,-1,7
854,12.0,76.55,59884.08178,20.237344936539333,299,0.03372,1.58038,g,-1,8
854,12.0,76.55,59884.08178,20.49953802173201,299,0.03372,1.58038,g,-1,9
854,12.0,76.55,59884.08178,20.5414464157489,299,0.03372,1.58038,g,-1,10
854,12.0,76.55,59884.08178,20.949226324890493,299,0.03372,1.58038,g,-1,11
854,12.0,76.55,59884.08178,19.524459067159366,299,0.03372,1.58038,g,-1,12
854,12.0,76.55,59884.08178,21.53836467494702,299,0.03372,1.58038,g,-1,13
854,12.0,76.55,59884.08178,21.01511109142082,299,0.03372,1.58038,g,-1,14
854,12.0,76.55,59884.08178,21.037342175925723,299,0.03372,1.58038,g,-1,15
854,12.0,76.55,59884.08178,21.838533380470093,299,0.03372,1.58038,g,-1,16
868,348.0,76.55,59884.08537,20.772114082501872,299,0.01232,1.43953,g,-1,1
868,348.0,76.55,59884.08537,19.72027099677702,299,0.01232,1.43953,g,-1,2
868,348.0,76.55,59884.08537,22.17516821578005,299,0.01232,1.43953,g,-1,3
868,348.0,76.55,59884.08537,22.491246005214713,299,0.01232,1.43953,g,-1,4
868,348.0,76.55,59884.08537,20.566827607839286,299,0.01232,1.43953,g,-1,5
868,348.0,76.55,59884.08537,20.96741638995108,299,0.01232,1.43953,g,-1,6
868,348.0,76.55,59884.08537,20.258120872316287,299,0.01232,1.43953,g,-1,7
868,348.0,76.55,59884.08537,21.705634960279877,299,0.01232,1.43953,g,-1,8
868,348.0,76.55,59884.08537,22.292420542476687,299,0.01232,1.43953,g,-1,9
868,348.0,76.55,59884.08537,20.996335639541915,299,0.01232,1.43953,g,-1,10
868,348.0,76.55,59884.08537,21.941300001078826,299,0.01232,1.43953,g,-1,11
868,348.0,76.55,59884.08537,19.466106060242964,299,0.01232,1.43953,g,-1,12
868,348.0,76.55,59884.08537,21.245242293879077,299,0.01232,1.43953,g,-1,13
868,348.0,76.55,59884.08537,20.012042887508418,299,0.01232,1.43953,g,-1,14
868,348.0,76.55,59884.08537,20.832756387528914,299,0.01232,1.43953,g,-1,15
868,348.0,76.55,59884.08537,21.904932172605662,299,0.01232,1.43953,g,-1,16
852,334.28571,69.35,59884.08896,21.699559387130122,299,0.00698,1.26256,g,-1,1
852,334.28571,69.35,59884.08896,20.289894100002073,299,0.00698,1.26256,g,-1,2
852,334.28571,69.35,59884.08896,19.7955677552963,299,0.00698,1.26256,g,-1,3
852,334.28571,69.35,59884.08896,19.0173530494014,299,0.00698,1.26256,g,-1,4
852,334.28571,69.35,59884.08896,20.493240427592873,299,0.00698,1.26256,g,-1,5
852,334.28571,69.35,59884.08896,21.054678376464373,299,0.00698,1.26256,g,-1,6
852,334.28571,69.35,59884.08896,20.95028583221114,299,0.00698,1.26256,g,-1,7
852,334.28571,69.35,59884.08896,20.507048963542896,299,0.00698,1.26256,g,-1,8
852,334.28571,69.35,59884.08896,19.460670329048842,299,0.00698,1.26256,g,-1,9
852,334.28571,69.35,59884.08896,21.20391261124948,299,0.00698,1.26256,g,-1,10
852,334.28571,69.35,59884.08896,19.81009084752281,299,0.00698,1.26256,g,-1,11
852,334.28571,69.35,59884.08896,18.94872707252232,299,0.00698,1.26256,g,-1,12
852,334.28571,69.35,59884.08896,21.45339863354045,299,0.00698,1.26256,g,-1,13
852,334.28571,69.35,59884.08896,21.13408253385215,299,0.00698,1.26256,g,-1,14
852,334.28571,69.35,59884.08896,21.16042949995961,299,0.00698,1.26256,g,-1,15
852,334.28571,69.35,59884.08896,21.032976724537864,299,0.00698,1.26256,g,-1,16
835,42.85714,69.35,59884.09255,22.87332908775522,299,0.00597,1.87855,g,-1,1
835,42.85714,69.35,59884.09255,21.02683289874968,299,0.00597,1.87855,g,-1,2
835,42.85714,69.35,59884.09255,21.139461096203256,299,0.00597,1.87855,g,-1,3
835,42.85714,69.35,59884.09255,20.31457089303996,299,0.00597,1.87855,g,-1,4
835,42.85714,69.35,59884.09255,20.589247498699947,299,0.00597,1.87855,g,-1,5
835,42.85714,69.35,59884.09255,20.35643202585964,299,0.00597,1.87855,g,-1,6
835,42.85714,69.35,59884.09255,20.655283214903584,299,0.00597,1.87855,g,-1,7
835,42.85714,69.35,59884.09255,22.422669284496195,299,0.00597,1.87855,g,-1,8
835,42.85714,69.35,59884.09255,21.414661738463277,299,0.00597,1.87855,g,-1,9
835,42.85714,69.35,59884.09255,20.778783970903053,299,0.00597,1.87855,g,-1,10
835,42.85714,69.35,59884.09255,22.576244758104025,299,0.00597,1.87855,g,-1,11
